r,t,y,DiscountedTechnologyEmissionsPenalty
RE1,MINBIO,2024,5456.735
RE1,MINBIO,2025,4576.9533
RE1,MINBIO,2026,4413.6877
RE1,MINBIO,2027,4255.026
RE1,MINBIO,2028,4101.3844
RE1,MINBIO,2029,3956.805
RE1,MINBIO,2030,3748.5378
RE1,MINBIO,2031,3323.0452
RE1,MINBIO,2032,3203.983
RE1,MINBIO,2033,3088.6553
RE1,MINBIO,2034,2976.9833
RE1,MINBIO,2035,2822.8927
RE1,MINBIO,2036,2679.4808
RE1,MINBIO,2037,2528.61
RE1,MINBIO,2038,2378.4297
RE1,MINBIO,2039,2236.8567
RE1,MINBIO,2040,1972.9227
RE1,MINBIO,2041,1941.3417
RE1,MINBIO,2042,1853.8902
RE1,MINBIO,2043,1739.9608
RE1,MINBIO,2044,1632.7061
RE1,MINBIO,2045,172.6526
RE1,MINBIO,2046,120.3064
RE1,MINBIO,2047,74.7679
RE1,MINBIO,2048,42.3631
RE1,MINBIO,2049,17.2115
RE1,MINBIO,2050,8.1577
RE1,MINBIO,2068,46.0721
RE1,MINBIO,2069,108.9712
RE1,MINCOA,2024,6447.5806
RE1,MINCOA,2025,5584.9549
RE1,MINCOA,2026,5394.0049
RE1,MINCOA,2027,5195.6274
RE1,MINCOA,2028,5003.845
RE1,MINCOA,2029,4720.6531
RE1,MINCOA,2030,1338.3433
RE1,MINCOA,2031,1209.2829
RE1,MINCOA,2032,1151.698
RE1,MINCOA,2033,1096.8552
RE1,MINCOA,2034,1044.624
RE1,MINCOA,2035,994.88
RE1,MINCOA,2036,947.5048
RE1,MINCOA,2037,756.5708
RE1,MINCOA,2038,689.454
RE1,MINCOA,2039,627.053
RE1,MINCOA,2040,476.0252
RE1,MINCOA,2041,453.3573
RE1,MINCOA,2042,383.8412
RE1,MINCOA,2043,365.563
RE1,MINCOA,2044,348.1552
RE1,MINCOA,2045,331.5764
RE1,MINCOA,2046,315.7871
RE1,MINCOA,2047,300.7496
RE1,MINCOA,2048,286.4282
RE1,MINCOA,2049,272.7887
RE1,MINCOA,2050,259.7988
RE1,MINCOA,2051,247.4274
RE1,MINCOA,2052,235.6452
RE1,MINCOA,2053,224.424
RE1,MINCOA,2054,213.7371
RE1,MINCOA,2055,203.5591
RE1,MINCOA,2056,193.8659
RE1,MINCOA,2057,184.6342
RE1,MINCOA,2058,175.842
RE1,MINCOA,2059,167.4686
RE1,MINCOA,2060,159.4939
RE1,MINCOA,2061,151.899
RE1,MINCOA,2062,144.6657
RE1,MINCOA,2063,137.7768
RE1,MINCOA,2064,131.216
RE1,MINCOA,2065,124.9677
RE1,MINCOA,2066,119.0168
RE1,MINCOA,2067,113.3494
RE1,MINCOA,2068,107.9518
RE1,MINCOA,2069,102.8112
RE1,IMPLFO,2024,19902.448
RE1,IMPLFO,2025,19263.872
RE1,IMPLFO,2026,18674.488
RE1,IMPLFO,2027,18097.502
RE1,IMPLFO,2028,17533.075
RE1,IMPLFO,2029,16981.323
RE1,IMPLFO,2030,16442.323
RE1,IMPLFO,2031,15871.848
RE1,IMPLFO,2032,15318.364
RE1,IMPLFO,2033,14781.553
RE1,IMPLFO,2034,14261.085
RE1,IMPLFO,2035,13756.627
RE1,IMPLFO,2036,13253.177
RE1,IMPLFO,2037,12766.46
RE1,IMPLFO,2038,12296.025
RE1,IMPLFO,2039,11841.426
RE1,IMPLFO,2040,11402.225
RE1,IMPLFO,2041,10972.246
RE1,IMPLFO,2042,10557.351
RE1,IMPLFO,2043,10157.08
RE1,IMPLFO,2044,9770.9816
RE1,IMPLFO,2045,9398.6139
RE1,IMPLFO,2046,9020.2546
RE1,IMPLFO,2047,8656.6141
RE1,IMPLFO,2048,8307.1488
RE1,IMPLFO,2049,7935.9366
RE1,IMPNGS,2028,525.7998
RE1,IMPNGS,2029,548.0357
RE1,IMPNGS,2030,530.8372
RE1,IMPNGS,2031,678.987
RE1,IMPNGS,2032,685.7678
RE1,IMPNGS,2033,690.3388
RE1,IMPNGS,2034,692.8964
RE1,IMPNGS,2035,693.6229
RE1,IMPNGS,2036,688.3749
RE1,IMPNGS,2037,720.289
RE1,IMPNGS,2038,709.3202
RE1,IMPNGS,2039,697.7483
RE1,IMPNGS,2040,685.6562
RE1,IMPNGS,2041,672.6952
RE1,IMPNGS,2042,674.8504
RE1,IMPNGS,2043,660.5502
RE1,IMPNGS,2044,646.0706
RE1,IMPNGS,2045,631.4617
RE1,IMPNGS,2046,619.6613
RE1,IMPNGS,2047,610.8486
RE1,IMPNGS,2048,595.256
RE1,IMPNGS,2049,581.6675
RE1,IMPNGS,2050,1179.3205
RE1,IMPNGS,2051,1139.4753
RE1,IMPNGS,2052,1098.0207
RE1,IMPNGS,2053,1058.0524
RE1,IMPNGS,2054,1019.5183
RE1,IMPNGS,2055,982.3678
RE1,IMPNGS,2056,946.5523
RE1,IMPNGS,2057,912.0249
RE1,IMPNGS,2058,878.74
RE1,IMPNGS,2059,850.5715
RE1,IMPNGS,2060,815.3022
RE1,IMPNGS,2061,785.9101
RE1,IMPNGS,2062,757.1719
RE1,IMPNGS,2063,729.4716
RE1,IMPNGS,2064,704.6368
RE1,IMPNGS,2065,678.8143
RE1,IMPNGS,2066,653.9272
RE1,IMPNGS,2067,629.9422
RE1,IMPNGS,2068,606.8271
RE1,IMPNGS,2069,584.5508
RE1,MINNGS,2024,865.7012
RE1,MINNGS,2025,472.0092
RE1,MINNGS,2026,490.0647
RE1,MINNGS,2027,510.5292
