r;e;y;AnnualEmissions
RE1;EMIC02;2015;586036
RE1;EMIC02;2016;586484.83
RE1;EMIC02;2017;586124.51
RE1;EMIC02;2018;586114.94
RE1;EMIC02;2019;586234.62
RE1;EMIC02;2020;587334.13
RE1;EMIC02;2021;588269.66
RE1;EMIC02;2022;609648.62
RE1;EMIC02;2023;623700.5
RE1;EMIC02;2024;637751.83
RE1;EMIC02;2025;676565.96
RE1;EMIC02;2026;664943.02
RE1;EMIC02;2027;654892.57
RE1;EMIC02;2028;644845.26
RE1;EMIC02;2029;634400.79
RE1;EMIC02;2030;624974.95
RE1;EMIC02;2031;608320.81
RE1;EMIC02;2032;603136.97
RE1;EMIC02;2033;598758.87
RE1;EMIC02;2034;593959.01
RE1;EMIC02;2035;585114.14
RE1;EMIC02;2036;567625.23
RE1;EMIC02;2037;555211.02
RE1;EMIC02;2038;544275.63
RE1;EMIC02;2039;528106.01
RE1;EMIC02;2040;513759.36
RE1;EMIC02;2041;494554.55
RE1;EMIC02;2042;465160.05
RE1;EMIC02;2043;436214.75
RE1;EMIC02;2044;410078.45
RE1;EMIC02;2045;386707.99
RE1;EMIC02;2046;361102.14
RE1;EMIC02;2047;336198.62
RE1;EMIC02;2048;311775.12
RE1;EMIC02;2049;288088.32
RE1;EMIC02;2050;275827.4
RE1;EMIC02;2051;273505.08
RE1;EMIC02;2052;272414.61
RE1;EMIC02;2053;271326.44
RE1;EMIC02;2054;270240.59
RE1;EMIC02;2055;272490.8
RE1;EMIC02;2056;271229.85
RE1;EMIC02;2057;269890.1
RE1;EMIC02;2058;268764.01
RE1;EMIC02;2059;268736.07
RE1;EMIC02;2060;263775.16
RE1;EMIC02;2061;262186.51
RE1;EMIC02;2062;260600.32
RE1;EMIC02;2063;259016.61
RE1;EMIC02;2064;257435.41
RE1;EMIC02;2065;262910.36
RE1;EMIC02;2066;271432.85
RE1;EMIC02;2067;280005.59
RE1;EMIC02;2068;288629.13
RE1;EMIC02;2069;288965.73
RE1;EMIC02;2070;285996.81
