y;Capital costs;Fixed costs;Variable costs;Fuel costs;;;
2015;0;1.415405122;1.00E-04;4.313693272;;;
2016;0;1.427337289;0.000100029;4.641124733;;;
2017;0;1.477194102;1.00E-04;4.63258656;;;
2018;0;1.531210013;0.000100006;4.977775833;;;
2019;0;1.553240033;0.000100007;5.407218568;;;
2020;0;1.554988659;9.99E-05;5.81265931;;;
2021;0;1.564723019;9.99E-05;5.778342347;;;
2022;0;1.425460002;9.99E-05;6.023937626;;;
2023;0;1.419465366;1.00E-04;6.045594729;;;
2024;0;1.413463019;9.99E-05;6.067203221;;;
2025;4.016743418;1.837424562;1.00E-04;4.814000844;;;
2026;4.382380448;1.822892747;9.99E-05;6.401105336;;;
2027;4.709882294;1.836228248;1.00E-04;7.383894852;;;
2028;4.94792352;1.843386837;0.000100015;7.964024675;;;
2029;5.114550041;1.854324104;1.00E-04;7.9428757;;;
2030;5.301083537;1.876488695;1.00E-04;7.863979598;;;
2031;5.533271405;1.854810612;1.00E-04;7.93515764;;;
2032;5.698273528;1.884236191;1.00E-04;8.025858093;;;
2033;5.865717152;1.906174092;1.00E-04;8.067220861;;;
2034;6.002675917;1.924922588;9.99E-05;8.133069471;;;
2035;6.47295779;1.969194907;0.000100004;7.920265382;;;
2036;7.048122692;2.032929092;0.000100018;7.68886053;;;
2037;7.536167197;2.087667722;0.000100022;7.317660851;;;
2038;8.115465539;2.151934406;1.00E-04;6.904788796;;;
2039;8.58223318;2.206928469;0.000100036;6.459430196;;;
2040;9.052636189;2.261150667;0.00010001;6.015743358;;;
2041;9.646065207;2.345986216;0.000100002;5.380225863;;;
2042;10.34266823;2.444089307;0.000100011;4.717287174;;;
2043;11.12615606;2.580976634;0.000100016;3.785210273;;;
2044;11.98413493;2.726760104;0.000100016;3.141310207;;;
2045;12.77174102;2.695482557;1.00E-04;2.467573782;;;
2046;13.52765602;2.846577812;1.00E-04;1.830011195;;;
2047;14.21427338;2.98145294;1.00E-04;1.236882995;;;
2048;14.84761076;3.121044733;1.00E-04;0.640904558;;;
2049;15.41241284;3.249244586;1.00E-04;0.081204583;;;
2050;15.92280538;3.361652532;1.00E-04;0.051966087;;;
2051;15.89276731;3.292841761;1.00E-04;0.045607661;;;
2052;15.76564543;3.257888438;0.000100007;0.042117794;;;
2053;15.63955866;3.223289083;1.00E-04;0.038681589;;;
2054;15.56891828;3.195959129;0.000100012;0.035298409;;;
2055;14.48582614;3.100206364;0.00010001;0.053057726;;;
2056;14.23000429;3.023988538;1.00E-04;0.049058536;;;
2057;13.97704134;2.947023966;0.00010001;0.044508589;;;
2058;13.74655401;2.874680152;1.00E-04;0.041277659;;;
2059;13.57995145;2.818510382;1.00E-04;0.04507074;;;
2060;13.50234416;2.783386971;0.000100014;0.017349756;;;
2061;13.3527642;2.722747901;1.00E-04;0.013096854;;;
2062;13.2148718;2.671349347;1.00E-04;0.008807826;;;
2063;13.07766142;2.619050528;1.00E-04;0.004442854;;;
2064;12.92341047;2.568548623;1.00E-04;0;;;
2065;12.49021015;2.525730443;1.00E-04;0.012128148;;;
2066;12.05243133;2.499570113;1.00E-04;0.03125843;;;
2067;11.46823582;2.473631191;1.00E-04;0.050290016;;;
2068;10.90835533;2.447933223;1.00E-04;0.06922248;;;
2069;10.28822578;2.465388433;1.00E-04;0.068877378;;;
2070;9.3765916;2.377436588;0.000100002;0.06641963;;;
