y,Transport,Industry and Agriculture,Residential,Commercial
2024,1136.6105,1480.4243000000001,292.9207,271.1676
2025,1130.9274,1530.0402,464.6263,277.4779
2026,1125.2728000000002,1567.1285,472.23170000000005,284.30679999999995
2027,1119.6465,1604.217,479.83680000000004,291.1359
2028,1114.0482,1641.3054000000002,487.4421,297.9647
2029,1108.4779,1678.3938,495.04740000000004,304.79369999999994
2030,1102.9356,1715.4823000000001,502.6525,311.6228
2031,1097.4208999999998,1754.4986000000001,511.22040000000004,319.44640000000004
2032,1091.9339,1793.5152000000003,519.7882,327.2702
2033,1086.4742,1832.5317,528.3559,335.0941
2034,1081.0418,1871.5482000000002,536.9236,342.9177
2035,1075.6365,1910.5647000000001,550.0633,351.6573
2036,1070.2584000000002,1946.5769,561.7032,358.8469
2037,1064.9070000000002,1982.5891000000001,573.3431,366.03630000000004
2038,1059.5826,2018.6012000000003,584.9830000000001,373.2259000000001
2039,1054.2846,2054.6133999999997,596.6231,380.41540000000003
2040,1049.013,2090.7314,603.691,386.6892
2041,1043.7681,2126.4860000000003,610.6302999999999,392.8299
2042,1038.5493,2162.2405,617.5698000000001,398.9707
2043,1033.3564999999999,2197.9951,624.5091,405.1115
2044,1028.1897999999999,2233.7496,631.4485999999999,411.2522
2045,1023.0489,2269.5042,638.3879,417.39300000000003
2046,1017.9335,2301.5688,644.0400999999999,422.2404000000001
2047,1012.8438,2333.6335,658.2815,428.30920000000003
2048,1007.7797,2365.6981,672.5227,434.37770000000006
2049,1002.7408000000001,2397.7627,686.7639999999999,440.4464
2050,997.727,2429.7215999999994,705.5771000000001,447.4307
